,time,open,high,low,close,volume
0,2010-04-15,46.0,46.0,20.0,31.6,3387100
1,2010-04-16,30.5,31.3,30.5,31.3,197300
2,2010-04-19,33.4,33.4,33.4,33.4,274700
3,2010-04-20,35.7,35.7,34.6,35.7,1923600
4,2010-04-21,38.1,38.1,35.2,38.1,3244800
5,2010-04-22,40.2,40.2,35.8,36.2,1211700
6,2010-04-26,36.0,36.0,34.8,34.8,1051900
7,2010-04-27,32.6,35.7,32.5,33.5,2256400
8,2010-04-28,32.5,34.5,32.0,33.4,1751900
9,2010-04-29,33.5,36.0,33.5,36.0,1802000
10,2010-05-04,38.0,38.1,37.5,38.1,1102700
11,2010-05-05,39.9,40.0,36.2,37.5,1699700
12,2010-05-06,37.6,40.2,37.0,39.9,3261300
13,2010-05-07,38.0,40.2,37.2,38.3,2232400
14,2010-05-10,38.0,38.4,36.1,36.9,1437800
15,2010-05-11,37.5,38.0,35.5,36.3,1133300
16,2010-05-12,36.5,36.5,34.0,34.0,1811600
17,2010-05-13,33.9,35.5,32.5,33.2,1321200
18,2010-05-14,33.5,34.3,33.0,33.6,669700
19,2010-05-17,34.0,34.8,32.3,32.4,751200
20,2010-05-18,33.0,33.0,31.0,31.2,1142000
21,2010-05-19,31.4,31.4,29.3,29.3,667800
22,2010-05-20,29.0,30.9,27.5,28.8,1526100
23,2010-05-21,28.7,28.7,26.3,26.3,637900
24,2010-05-24,24.6,26.3,24.5,24.7,1463300
25,2010-05-25,24.5,26.0,23.0,25.3,846100
26,2010-05-26,25.0,26.8,25.0,26.8,669700
27,2010-05-27,28.1,28.4,26.7,28.4,1054700
28,2010-05-28,30.1,30.1,30.1,30.1,360200
29,2010-05-31,32.2,32.2,29.0,29.3,794900
30,2010-06-01,28.8,29.5,28.2,28.5,970000
31,2010-06-02,27.6,28.8,26.8,27.8,723300
32,2010-06-03,29.3,29.7,28.0,28.7,681700
33,2010-06-04,28.7,28.8,27.5,27.8,494600
34,2010-06-07,26.1,26.9,26.1,26.1,995300
35,2010-06-08,25.8,27.1,25.5,27.0,584000
36,2010-06-09,27.2,27.5,26.5,26.7,505900
37,2010-06-10,27.0,27.0,26.5,26.9,253500
38,2010-06-11,27.3,27.8,26.8,27.0,479000
39,2010-06-14,27.4,28.0,27.0,27.9,647600
40,2010-06-15,27.6,29.5,27.6,28.9,1160700
41,2010-06-16,30.0,30.7,29.8,30.7,1036100
42,2010-06-17,31.9,31.9,29.3,29.6,1151900
43,2010-06-18,30.0,30.0,28.8,29.2,763400
44,2010-06-21,29.5,31.3,29.5,30.9,1440800
45,2010-06-22,30.9,30.9,29.4,29.6,769800
46,2010-06-23,29.3,29.9,28.6,29.3,639100
47,2010-06-24,29.8,30.2,28.9,29.1,542400
48,2010-06-25,28.8,28.8,28.0,28.5,720300
49,2010-06-28,28.5,29.1,28.1,28.7,408700
50,2010-06-29,29.1,29.2,28.4,28.5,396700
51,2010-06-30,27.7,28.0,27.1,27.9,564100
52,2010-07-01,27.2,28.4,27.2,27.8,384700
53,2010-07-02,28.0,28.2,27.7,28.0,613000
54,2010-07-05,28.3,28.7,28.0,28.1,370300
55,2010-07-06,28.0,28.2,27.4,27.8,356900
56,2010-07-07,28.1,28.1,26.9,27.2,407300
57,2010-07-08,28.0,28.2,26.0,27.0,336200
58,2010-07-09,27.3,27.4,27.0,27.1,326600
59,2010-07-12,27.8,27.8,27.0,27.4,243800
60,2010-07-13,28.2,28.6,27.6,28.5,535900
61,2010-07-14,28.9,29.4,28.0,28.3,356800
62,2010-07-15,28.0,28.4,27.7,27.9,228600
63,2010-07-16,28.4,28.4,27.6,27.7,256500
64,2010-07-19,27.5,28.3,27.5,27.8,445100
65,2010-07-20,27.9,28.2,27.4,27.6,297900
66,2010-07-21,27.9,28.0,27.2,27.2,335800
67,2010-07-22,27.2,27.5,26.8,26.9,342800
68,2010-07-23,27.5,27.6,26.8,27.3,379600
69,2010-07-26,27.5,27.5,26.5,26.6,191400
70,2010-07-27,26.9,27.0,26.3,26.5,314700
71,2010-07-28,26.7,26.7,25.5,25.7,339100
72,2010-07-29,25.3,26.1,25.2,25.9,291700
73,2010-07-30,26.0,26.2,25.7,25.9,382900
74,2010-08-02,26.0,26.0,25.2,25.2,247200
75,2010-08-03,25.5,25.8,25.1,25.3,244800
76,2010-08-04,25.1,25.1,24.3,24.5,279800
77,2010-08-05,24.8,25.1,24.1,24.3,184600
78,2010-08-06,24.5,24.6,24.0,24.1,207400
79,2010-08-09,24.2,24.2,22.6,22.7,355900
80,2010-08-10,22.5,22.5,21.4,21.5,566100
81,2010-08-11,21.4,22.2,21.0,21.7,277600
82,2010-08-12,21.6,21.6,20.1,20.1,392400
83,2010-08-13,19.0,20.1,18.8,19.9,534500
84,2010-08-16,19.5,20.8,19.5,20.8,231200
85,2010-08-17,22.1,22.1,20.8,22.0,1104000
86,2010-08-18,21.5,21.5,20.6,20.7,379200
87,2010-08-19,20.7,20.9,20.0,20.5,274600
88,2010-08-20,20.3,21.2,19.9,20.5,397700
89,2010-08-23,20.5,20.5,19.6,19.7,352500
90,2010-08-24,20.0,20.0,18.6,18.7,544300
91,2010-08-25,17.8,18.1,17.4,17.4,181600
92,2010-08-26,17.5,18.2,16.5,17.3,343400
93,2010-08-27,16.5,17.3,16.1,16.7,236800
94,2010-08-30,17.1,17.7,16.6,17.7,97300
95,2010-08-31,18.9,18.9,17.7,18.9,664600
96,2010-09-01,20.1,20.1,19.1,20.1,874700
97,2010-09-06,21.5,21.5,21.4,21.5,99800
98,2010-09-07,23.0,23.0,21.6,22.7,1748600
99,2010-09-08,22.0,22.7,21.3,21.8,1013300
100,2010-09-09,23.5,23.5,22.0,23.5,1164800
101,2010-09-10,24.0,24.0,21.6,21.8,814000
102,2010-09-13,21.0,21.3,20.8,20.8,616300
103,2010-09-14,21.0,22.0,20.3,21.5,317000
104,2010-09-15,21.4,21.4,20.1,20.4,423200
105,2010-09-16,20.4,21.0,20.2,20.9,352400
106,2010-09-17,21.5,22.1,21.5,22.1,878200
107,2010-09-20,23.5,23.6,22.7,23.1,1382000
108,2010-09-21,23.1,23.6,22.3,22.5,717200
109,2010-09-22,22.5,23.5,22.0,22.8,479800
110,2010-09-23,22.8,22.8,21.6,22.4,414100
111,2010-09-24,22.6,22.8,22.1,22.5,461400
112,2010-09-27,23.0,23.4,22.7,23.2,867900
113,2010-09-28,23.4,24.3,23.3,23.6,588600
114,2010-09-29,23.8,23.8,22.2,22.3,537900
115,2010-09-30,22.2,22.7,21.9,22.2,656000
116,2010-10-01,22.7,22.7,21.6,21.8,652000
117,2010-10-04,22.0,22.0,20.7,20.7,1097400
